
 num     #instances         #bytes  class name
 335:            36            864  com.sun.org.apache.xerces.internal.util.XMLStringBuffer
 336:            36            864  java.io.FilePermissionCollection
 337:            54            864  java.lang.ThreadLocal
 338:            15            840  javax.management.openmbean.ArrayType
 339:            21            840  sun.util.locale.BaseLocale$Key
 340:            26            832  com.fasterxml.jackson.databind.MapperFeature
 341:            26            832  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser
 342:            26            832  org.hibernate.validator.internal.engine.valueextraction.ValueExtractorDescriptor
 343:            20            800  com.sun.jmx.mbeanserver.MXBeanSupport
 344:            25            800  java.net.InetAddress$InetAddressHolder
 345:            20            800  org.apache.tomcat.util.collections.ManagedConcurrentWeakHashMap$Key
 346:            33            792  java.io.ExpiringCache$Entry
 347:            33            792  java.util.Date
 348:            33            792  java.util.regex.Pattern$Ctype
 349:            33            792  org.springframework.context.event.GenericApplicationListenerAdapter
 350:            43            784  [Ljavax.management.MBeanNotificationInfo;
 351:            49            784  com.sun.proxy.$Proxy0
 352:            49            784  com.sun.proxy.$Proxy3
 353:            14            784  java.lang.invoke.LambdaFormEditor$Transform
 354:             7            784  java.util.GregorianCalendar
 355:            49            784  java.util.regex.Pattern$BranchConn
 356:            14            784  jdk.internal.org.objectweb.asm.AnnotationWriter
 357:             8            768  [Lcom.sun.org.apache.xerces.internal.xni.QName;
 358:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping
 359:            16            768  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute
 360:            16            768  java.util.Properties
 361:            24            768  sun.misc.URLClassPath$Loader$1
 362:            48            768  sun.reflect.generics.tree.ArrayTypeSignature
 363:            47            752  com.sun.proxy.$Proxy2
 364:            31            744  com.sun.org.apache.xerces.internal.xni.XMLString
 365:            31            744  java.util.regex.Pattern$Ques
 366:            23            736  com.fasterxml.jackson.databind.SerializationFeature
 367:            23            736  java.util.Collections$UnmodifiableMap
 368:            24            728  [Ljava.io.ObjectStreamField;
 369:            18            720  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 370:            15            720  java.lang.management.PlatformComponent
 371:            30            720  java.net.URLClassLoader$2
 372:            18            720  org.hibernate.validator.internal.metadata.aggregated.CascadingMetaDataBuilder
 373:            30            720  org.jboss.logging.Log4j2Logger
 374:            18            720  sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl
 375:            22            704  org.springframework.util.ConcurrentReferenceHashMap$1
 376:            29            696  org.springframework.format.support.FormattingConversionService$ParserConverter
 377:             3            688  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 378:            43            688  org.springframework.beans.factory.support.ConstructorResolver$AutowiredArgumentMarker
 379:            21            672  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference
 380:            28            672  java.security.Provider$UString
 381:            21            672  java.util.Locale
 382:            21            672  java.util.PropertyPermission
 383:             6            672  sun.nio.ch.SocketChannelImpl
 384:            21            672  sun.util.locale.BaseLocale
 385:             6            664  [D
 386:            41            656  org.springframework.expression.common.LiteralExpression
 387:            27            648  java.time.ZoneRegion
 388:            27            648  org.apache.tomcat.util.res.StringManager
 389:            16            640  java.util.IdentityHashMap
 390:            39            632  [Ljavax.management.MBeanConstructorInfo;
 391:             3            624  [Ljava.lang.invoke.LambdaForm;
 392:            13            624  com.fasterxml.jackson.databind.type.SimpleType
 393:            26            624  java.lang.invoke.MethodHandles$Lookup
 394:            39            624  java.util.HashMap$EntrySet
 395:            39            624  java.util.concurrent.atomic.AtomicInteger
 396:            26            624  org.hibernate.validator.internal.engine.valueextraction.ValueExtractorDescriptor$Key
 397:            19            608  sun.management.DiagnosticCommandImpl$Wrapper
 398:            15            600  java.io.FileDescriptor
 399:            25            600  java.util.concurrent.atomic.AtomicLong
 400:            25            600  org.springframework.core.type.StandardAnnotationMetadata
 401:            25            600  sun.nio.cs.CharsetMapping$Entry
 402:            24            592  [Lorg.springframework.util.ConcurrentReferenceHashMap$TaskOption;
 403:            37            592  com.sun.proxy.$Proxy18
 404:            37            592  org.springframework.boot.loader.jar.JarFile$$Lambda$1/1389133897
 405:             4            576  [Lcom.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket;
 406:            18            576  java.lang.invoke.SimpleMethodHandle
 407:            36            576  java.util.TreeMap$KeySet
 408:            12            576  java.util.concurrent.ThreadPoolExecutor$Worker
 409:            12            576  org.hibernate.validator.internal.metadata.raw.ConstrainedExecutable
 410:            24            576  org.springframework.core.annotation.AnnotationUtils$AnnotationCacheKey
 411:            24            576  org.springframework.web.util.UrlPathHelper
 412:            12            576  sun.util.locale.provider.LocaleResources$ResourceReference
 413:            14            560  ch.qos.logback.core.status.InfoStatus
 414:            35            560  java.util.TreeSet
 415:             2            560  java.util.concurrent.ConcurrentHashMap$CounterCell
 416:            14            560  javax.management.openmbean.SimpleType
 417:            35            560  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 418:            35            560  org.springframework.context.annotation.ConfigurationClassEnhancer$BeanFactoryAwareGeneratorStrategy
 419:            10            560  sun.invoke.util.Wrapper
 420:            23            552  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig
 421:            23            552  org.yaml.snakeyaml.tokens.Token$ID
 422:            17            544  com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer
 423:            34            544  com.sun.proxy.$Proxy34
 424:             1            536  org.springframework.boot.web.embedded.tomcat.TomcatEmbeddedContext
 425:             1            528  [Ljava.lang.Character;
 426:            13            520  java.util.EnumMap
 427:            13            520  org.springframework.util.AntPathMatcher
 428:             8            512  java.text.DateFormatSymbols
 429:             8            512  java.text.DecimalFormatSymbols
 430:            16            512  java.time.temporal.ChronoUnit
 431:            16            512  java.util.LinkedHashMap$LinkedKeyIterator
 432:             8            512  jdk.internal.org.objectweb.asm.FieldWriter
 433:             9            504  com.fasterxml.jackson.databind.cfg.BaseSettings
 434:            21            504  java.time.Duration
 435:            21            504  java.util.AbstractMap$SimpleImmutableEntry
 436:            21            504  java.util.Locale$LocaleKey
 437:            21            504  java.util.concurrent.ConcurrentHashMap$KeySetView
 438:             9            504  javax.management.openmbean.CompositeType
 439:             9            504  sun.nio.cs.UTF_8$Encoder
 440:            19            488  [Lsun.management.DiagnosticCommandArgumentInfo;
 441:            12            480  com.sun.jmx.mbeanserver.PerInterface
 442:             6            480  com.sun.org.apache.xalan.internal.xsltc.trax.TransformerFactoryImpl
 443:            20            480  java.net.InetSocketAddress$InetSocketAddressHolder
 444:             4            480  java.net.SocksSocketImpl
 445:            10            480  java.nio.HeapByteBuffer
 446:            20            480  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 447:            15            480  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 448:            20            480  java.util.regex.Pattern$Start
 449:             2            480  org.apache.catalina.core.StandardWrapper
 450:            30            480  org.apache.logging.log4j.message.MessageFormatMessageFactory
 451:            29            464  org.apache.catalina.webresources.Cache$EvictionOrder
 452:            29            464  org.hibernate.validator.internal.util.logging.Log_$logger
 453:             6            456  [Lsun.invoke.util.Wrapper;
 454:            19            456  java.lang.invoke.Invokers
 455:            19            456  java.net.Inet4Address
 456:            19            456  sun.nio.ch.SocketOptionRegistry$RegistryKey
 457:            14            448  [Ljava.lang.ref.WeakReference;
 458:            14            448  com.fasterxml.jackson.core.JsonParser$Feature
 459:             7            448  java.nio.DirectByteBuffer
 460:             8            448  javax.management.openmbean.OpenMBeanParameterInfoSupport
 461:            14            448  org.springframework.boot.context.properties.bind.JavaBeanBinder$BeanProperty
 462:             1            432  [[[C
 463:            18            432  java.text.DateFormat$Field
 464:            18            432  org.springframework.beans.factory.config.ConstructorArgumentValues
 465:            18            432  sun.misc.MetaIndex
 466:             1            424  [Lcom.sun.org.apache.xerces.internal.util.SymbolTable$Entry;
 467:            26            416  com.sun.proxy.$Proxy37
 468:            13            416  org.apache.catalina.util.ManifestResource
 469:            26            416  sun.reflect.BootstrapConstructorAccessorImpl
 470:            17            408  com.sun.org.apache.xerces.internal.util.SymbolTable$Entry
 471:            17            408  org.springframework.boot.ansi.AnsiColor
